event_id,user_id,event_type,event_timestamp
1,1,Upload Photo,2024-02-14
2,1,Invite User,2023-11-04
3,1,Login,2023-12-22
4,1,Login,2024-01-19
5,1,View Photo,2023-10-12
6,1,View Photo,2023-09-20
7,1,Invite User,2023-12-29
8,1,Login,2024-02-19
9,1,Invite User,2024-01-12
10,1,View Photo,2023-12-06
11,1,View Photo,2023-11-04
12,1,Login,2023-10-12
13,2,Upload Photo,2023-12-04
14,2,Upload Photo,2024-05-06
15,2,View Photo,2023-12-31
16,2,Share Photo,2024-03-01
17,2,Share Photo,2024-02-22
18,2,Invite User,2024-02-12
19,2,Invite User,2023-12-28
20,2,Login,2024-03-25
21,2,Upload Photo,2024-01-11
22,2,Invite User,2024-04-18
23,2,Share Photo,2024-05-09
24,2,View Photo,2024-04-16
25,2,Share Photo,2024-01-20
26,2,Upload Photo,2024-05-20
27,2,Share Photo,2023-12-03
28,2,Login,2024-02-08
29,2,Upload Photo,2023-12-03
30,2,View Photo,2024-05-05
31,2,Login,2024-04-25
32,2,Upload Photo,2024-02-19
33,2,View Photo,2024-04-21
34,2,Login,2024-03-17
35,2,Login,2024-03-30
36,2,Upload Photo,2024-04-21
37,2,Invite User,2024-01-01
38,2,Login,2023-12-25
39,2,Login,2024-02-16
40,2,View Photo,2023-11-28
41,2,Share Photo,2024-04-03
42,2,Upload Photo,2024-01-12
43,2,Upload Photo,2024-04-22
44,2,Invite User,2023-12-07
45,3,Login,2023-12-07
46,3,View Photo,2023-10-07
47,3,View Photo,2023-11-14
48,3,Upload Photo,2023-11-09
49,3,Invite User,2024-01-24
50,3,Login,2024-01-06
51,3,Upload Photo,2023-11-24
52,3,Share Photo,2023-10-12
53,3,Share Photo,2023-12-09
54,3,View Photo,2023-10-11
55,3,View Photo,2024-02-13
56,3,Share Photo,2023-10-04
57,3,View Photo,2023-09-17
58,3,Login,2024-02-12
59,3,View Photo,2024-01-31
60,3,Invite User,2023-12-31
61,3,View Photo,2023-11-15
62,3,Upload Photo,2023-11-26
63,3,Login,2023-12-26
64,3,Upload Photo,2023-12-15
65,3,Upload Photo,2023-11-25
66,3,Invite User,2023-09-27
67,3,Login,2023-10-27
68,3,Login,2023-10-01
69,3,Login,2024-01-12
70,3,Login,2024-02-15
71,3,Login,2023-12-07
72,3,Invite User,2023-09-12
73,3,View Photo,2023-10-23
74,3,Upload Photo,2024-01-16
75,3,Login,2024-02-20
76,3,View Photo,2024-01-23
77,3,View Photo,2024-02-01
78,3,Upload Photo,2023-12-31
79,3,Invite User,2023-10-16
80,3,Share Photo,2023-11-03
81,3,Share Photo,2024-01-08
82,3,View Photo,2023-10-24
83,3,Upload Photo,2023-12-16
84,3,Share Photo,2023-10-21
85,3,View Photo,2023-10-06
86,3,Invite User,2023-12-24
87,3,Share Photo,2023-09-26
88,3,View Photo,2023-09-29
89,3,View Photo,2024-01-27
90,3,Login,2023-09-11
91,3,Invite User,2023-10-10
92,3,Login,2023-09-11
93,3,Upload Photo,2024-02-11
94,4,Upload Photo,2023-08-15
95,4,Login,2023-09-02
96,4,Upload Photo,2023-09-05
97,4,Invite User,2023-06-22
98,4,Upload Photo,2023-11-10
99,4,Invite User,2023-09-03
100,4,Login,2023-10-10
101,4,View Photo,2023-07-09
102,4,Upload Photo,2023-09-11
103,4,View Photo,2023-06-26
104,4,Invite User,2023-11-04
105,4,Upload Photo,2023-08-12
106,4,Share Photo,2023-11-15
107,4,View Photo,2023-10-01
108,4,Upload Photo,2023-07-10
109,4,View Photo,2023-07-31
110,5,Invite User,2023-12-26
111,5,Login,2023-10-01
112,5,Login,2023-09-28
113,5,View Photo,2024-02-20
114,5,Invite User,2024-02-13
115,5,Upload Photo,2023-12-31
116,5,Share Photo,2023-10-29
117,5,Upload Photo,2023-12-21
118,5,Invite User,2024-01-23
119,5,Login,2023-10-21
120,5,Login,2024-03-03
121,5,Invite User,2024-02-29
122,5,Login,2023-12-31
123,5,Login,2023-10-23
124,5,Login,2023-09-29
125,5,Share Photo,2024-01-12
126,5,Share Photo,2023-09-18
127,5,View Photo,2023-12-16
128,5,Upload Photo,2024-02-14
129,5,Invite User,2024-02-02
130,5,Invite User,2024-02-22
131,5,Invite User,2023-09-30
132,5,View Photo,2024-03-02
133,5,Share Photo,2023-12-31
134,5,View Photo,2024-01-18
135,5,Invite User,2023-11-08
136,5,Upload Photo,2024-03-02
137,5,Login,2023-10-18
138,5,Share Photo,2024-02-19
139,5,Share Photo,2023-09-27
140,5,View Photo,2024-02-02
141,5,Share Photo,2023-10-02
142,5,Invite User,2024-02-21
143,5,Invite User,2023-12-19
144,5,View Photo,2024-01-15
145,5,Invite User,2023-10-23
146,5,Upload Photo,2023-10-30
147,5,View Photo,2023-10-13
148,5,Upload Photo,2023-11-15
149,5,Login,2023-09-30
150,5,Upload Photo,2024-01-13
151,5,Login,2023-09-24
152,5,Login,2024-02-19
153,5,Upload Photo,2024-02-14
154,5,View Photo,2023-12-26
155,5,Invite User,2023-12-07
156,6,Upload Photo,2023-10-03
157,6,View Photo,2023-09-26
158,6,Upload Photo,2024-02-03
159,6,Upload Photo,2023-08-19
160,6,Login,2023-11-17
161,6,View Photo,2023-08-30
162,6,View Photo,2023-12-10
163,6,Invite User,2023-10-10
164,6,Invite User,2023-12-11
165,7,Invite User,2023-09-01
166,7,Share Photo,2023-08-27
167,7,Invite User,2023-11-09
168,7,Invite User,2023-09-29
169,7,Login,2023-09-26
170,7,Upload Photo,2023-07-01
171,7,Invite User,2023-10-03
172,7,Invite User,2023-08-26
173,7,View Photo,2023-10-21
174,7,Upload Photo,2023-07-19
175,7,View Photo,2023-11-04
176,7,Upload Photo,2023-11-20
177,7,View Photo,2023-09-04
178,7,Invite User,2023-12-07
179,7,Invite User,2023-06-29
180,7,Login,2023-07-30
181,7,View Photo,2023-07-15
182,7,Share Photo,2023-06-25
183,7,Login,2023-11-06
184,7,View Photo,2023-10-22
185,7,View Photo,2023-07-28
186,7,Login,2023-08-31
187,7,Invite User,2023-10-31
188,7,View Photo,2023-12-13
189,7,Invite User,2023-09-18
190,7,Login,2023-11-13
191,7,Invite User,2023-07-27
192,7,Upload Photo,2023-08-19
193,7,Share Photo,2023-12-13
194,8,View Photo,2024-02-23
195,8,Upload Photo,2023-09-17
196,8,Login,2024-01-21
197,8,Upload Photo,2023-10-25
198,8,Share Photo,2023-11-07
199,8,Share Photo,2023-10-11
200,8,Invite User,2023-10-03
201,8,Invite User,2024-02-27
202,8,Share Photo,2024-01-26
203,8,Share Photo,2024-02-17
204,8,Share Photo,2023-12-26
205,8,Upload Photo,2024-02-15
206,8,Share Photo,2023-10-19
207,8,View Photo,2024-02-16
208,8,Login,2023-12-01
209,8,Share Photo,2023-12-19
210,8,Login,2023-09-12
211,8,Upload Photo,2023-11-26
212,8,Login,2023-09-22
213,8,Upload Photo,2023-10-19
214,8,View Photo,2023-09-23
215,8,Upload Photo,2023-10-26
216,8,Upload Photo,2024-02-12
217,8,Invite User,2024-01-01
218,8,Share Photo,2023-09-27
219,8,Share Photo,2023-12-23
220,8,View Photo,2023-12-17
221,8,View Photo,2023-12-07
222,8,Share Photo,2023-12-28
223,8,Invite User,2024-02-20
224,8,Share Photo,2023-11-19
225,9,Upload Photo,2023-10-28
226,9,Invite User,2024-02-15
227,9,Share Photo,2023-11-01
228,9,Login,2024-02-10
229,9,View Photo,2024-01-18
230,9,Invite User,2023-12-17
231,9,Login,2024-03-07
232,9,Invite User,2024-03-26
233,9,Invite User,2023-11-26
234,9,View Photo,2023-10-25
235,9,Share Photo,2024-03-21
236,10,View Photo,2023-12-21
237,10,Upload Photo,2024-02-04
238,10,Share Photo,2023-11-05
239,10,View Photo,2023-09-04
240,10,Invite User,2023-09-09
241,10,Share Photo,2023-11-02
242,10,Invite User,2023-12-17
243,10,Share Photo,2023-11-13
244,10,Upload Photo,2023-09-03
245,10,View Photo,2023-09-29
246,10,Share Photo,2023-11-22
247,10,Login,2023-11-05
248,10,Login,2023-08-19
249,10,Share Photo,2024-01-07
250,10,Share Photo,2023-12-22
251,10,Share Photo,2023-08-14
252,10,Login,2023-10-10
253,10,Login,2023-12-15
254,10,Share Photo,2024-01-26
255,10,Invite User,2023-08-28
256,10,Invite User,2024-01-22
257,10,Upload Photo,2024-01-23
258,10,View Photo,2023-10-16
259,10,Invite User,2023-09-07
260,10,Login,2023-09-06
261,10,Invite User,2023-08-25
262,10,Upload Photo,2023-08-31
263,10,Upload Photo,2023-08-28
264,10,View Photo,2023-09-09
265,10,Invite User,2023-10-24
266,10,Login,2023-10-12
267,10,Login,2024-02-03
268,10,Share Photo,2024-01-05
269,10,Login,2023-11-14
270,10,View Photo,2023-10-05
271,10,View Photo,2023-08-21
272,11,Upload Photo,2023-10-06
273,11,Upload Photo,2024-01-18
274,11,Upload Photo,2023-11-10
275,11,Upload Photo,2023-12-25
276,11,Share Photo,2023-10-11
277,11,Login,2024-02-02
278,11,View Photo,2023-11-14
279,11,Invite User,2023-10-19
280,11,View Photo,2023-11-20
281,11,View Photo,2023-11-26
282,11,Login,2024-01-21
283,11,Login,2024-02-03
284,11,Login,2024-02-10
285,11,Upload Photo,2024-02-02
286,11,Share Photo,2023-12-01
287,11,Upload Photo,2023-08-28
288,11,Share Photo,2023-09-28
289,11,Share Photo,2024-01-31
290,11,View Photo,2024-02-03
291,11,View Photo,2023-11-11
292,11,Share Photo,2023-12-20
293,11,Share Photo,2024-01-27
294,11,Upload Photo,2024-01-23
295,11,Upload Photo,2023-12-07
296,11,View Photo,2024-02-08
297,11,Login,2023-12-07
298,11,Share Photo,2023-11-24
299,11,Upload Photo,2024-02-16
300,12,Upload Photo,2023-10-06
301,12,View Photo,2023-12-20
302,12,Invite User,2023-10-06
303,12,Login,2024-02-12
