user_id,signup_date,user_type
1,2023-09-11,Free
2,2023-11-27,Free
3,2023-09-01,Free
4,2023-06-15,Free
5,2023-09-15,Free
6,2023-08-11,Free
7,2023-06-21,Free
8,2023-09-11,Free
9,2023-09-30,Free
10,2023-08-14,Free
11,2023-08-27,Free
12,2023-09-25,Free
13,2023-09-08,Free
14,2023-09-12,Free
15,2023-10-30,Free
16,2023-10-09,Paid
17,2023-10-28,Free
18,2023-07-23,Free
19,2023-06-02,Paid
20,2023-08-27,Free
21,2023-11-05,Free
22,2023-07-08,Free
23,2023-10-08,Free
24,2023-06-21,Paid
25,2023-11-08,Free
26,2023-07-28,Free
27,2023-06-22,Free
28,2023-08-28,Paid
29,2023-07-19,Free
30,2023-07-29,Free
31,2023-11-17,Free
32,2023-06-15,Paid
33,2023-11-22,Free
34,2023-07-21,Free
35,2023-09-16,Free
36,2023-07-25,Free
37,2023-08-03,Free
38,2023-10-09,Free
39,2023-07-21,Free
40,2023-10-13,Free
41,2023-06-21,Paid
42,2023-08-12,Paid
43,2023-11-14,Free
44,2023-06-18,Paid
45,2023-10-10,Free
46,2023-08-28,Free
47,2023-07-30,Free
48,2023-06-14,Free
49,2023-06-09,Free
50,2023-08-29,Free
51,2023-07-23,Free
52,2023-10-08,Free
53,2023-08-23,Paid
54,2023-08-31,Paid
55,2023-09-19,Free
56,2023-11-19,Paid
57,2023-06-08,Paid
58,2023-11-22,Paid
59,2023-07-05,Free
60,2023-08-20,Paid
61,2023-11-11,Free
62,2023-07-20,Paid
63,2023-09-12,Paid
64,2023-10-10,Free
65,2023-06-02,Paid
66,2023-10-12,Paid
67,2023-07-24,Paid
68,2023-09-14,Free
69,2023-06-04,Free
70,2023-07-24,Free
71,2023-10-24,Paid
72,2023-07-14,Free
73,2023-11-09,Free
74,2023-06-14,Free
75,2023-09-03,Free
76,2023-07-18,Paid
77,2023-06-15,Paid
78,2023-07-10,Free
79,2023-08-21,Paid
80,2023-09-19,Free
81,2023-07-23,Free
82,2023-06-24,Paid
83,2023-11-01,Free
84,2023-10-02,Free
85,2023-07-11,Paid
86,2023-11-04,Free
87,2023-06-15,Free
88,2023-07-15,Free
89,2023-08-04,Free
90,2023-08-28,Free
91,2023-08-10,Free
92,2023-06-09,Paid
93,2023-08-27,Paid
94,2023-10-07,Paid
95,2023-10-14,Paid
96,2023-08-02,Free
97,2023-10-17,Free
98,2023-08-20,Free
99,2023-10-14,Free
100,2023-11-10,Free
101,2023-11-10,Free
102,2023-07-03,Free
103,2023-10-01,Paid
104,2023-06-05,Paid
105,2023-07-11,Free
106,2023-06-28,Free
107,2023-10-13,Free
108,2023-08-11,Paid
109,2023-06-12,Paid
110,2023-11-09,Free
111,2023-07-03,Free
112,2023-07-18,Free
113,2023-10-29,Free
114,2023-08-01,Free
115,2023-07-07,Free
116,2023-09-07,Paid
117,2023-11-19,Free
118,2023-09-12,Free
119,2023-07-05,Paid
120,2023-09-09,Paid
121,2023-11-22,Paid
122,2023-10-09,Free
123,2023-06-01,Free
124,2023-06-05,Free
125,2023-10-20,Free
126,2023-09-11,Free
127,2023-06-27,Free
128,2023-10-15,Free
129,2023-06-15,Free
130,2023-08-29,Free
131,2023-07-12,Free
132,2023-10-02,Free
133,2023-11-26,Free
134,2023-08-02,Free
135,2023-09-04,Free
136,2023-07-22,Free
137,2023-09-04,Free
138,2023-10-10,Free
139,2023-10-29,Free
140,2023-10-21,Free
141,2023-11-18,Paid
142,2023-06-29,Free
143,2023-07-06,Free
144,2023-06-13,Paid
145,2023-11-07,Free
146,2023-08-10,Paid
147,2023-08-25,Free
148,2023-06-28,Free
149,2023-08-05,Free
150,2023-11-17,Paid
151,2023-07-15,Free
152,2023-08-01,Paid
153,2023-10-12,Free
154,2023-06-28,Paid
155,2023-06-28,Free
156,2023-09-16,Paid
157,2023-07-14,Free
158,2023-08-23,Free
159,2023-06-30,Free
160,2023-08-14,Free
161,2023-10-06,Free
162,2023-08-31,Free
163,2023-10-07,Free
164,2023-09-29,Free
165,2023-06-27,Paid
166,2023-09-29,Paid
167,2023-09-24,Free
168,2023-06-03,Paid
169,2023-09-11,Paid
170,2023-11-02,Free
171,2023-10-15,Free
172,2023-08-01,Free
173,2023-11-12,Free
174,2023-07-21,Free
175,2023-11-19,Free
176,2023-10-30,Paid
177,2023-07-29,Paid
178,2023-09-26,Free
179,2023-11-07,Free
180,2023-09-04,Free
181,2023-11-27,Free
182,2023-09-21,Free
183,2023-08-01,Paid
184,2023-07-22,Free
185,2023-06-12,Paid
186,2023-07-09,Paid
187,2023-10-08,Free
188,2023-10-09,Paid
189,2023-09-21,Free
190,2023-09-09,Free
191,2023-09-21,Free
192,2023-08-20,Paid
193,2023-09-21,Free
194,2023-06-02,Paid
195,2023-10-08,Paid
196,2023-07-24,Free
197,2023-08-26,Paid
198,2023-10-07,Free
199,2023-10-25,Free
200,2023-10-04,Free
201,2023-10-08,Free
202,2023-07-23,Paid
203,2023-11-19,Free
204,2023-11-07,Free
205,2023-11-07,Paid
206,2023-08-07,Free
207,2023-10-01,Free
208,2023-10-23,Free
209,2023-07-08,Paid
210,2023-06-24,Free
211,2023-08-08,Paid
